집계년월,시군명,부과건수,징수건수,데이터기준일
2013-01,김포시,1922,728,2021-08-26
2013-02,김포시,1199,732,2021-08-26
2013-03,김포시,1623,1018,2021-08-26
2013-04,김포시,1503,1198,2021-08-26
2013-05,김포시,2023,1358,2021-08-26
2013-06,김포시,2261,1375,2021-08-26
2013-07,김포시,2653,1861,2021-08-26
2013-08,김포시,2389,1633,2021-08-26
2013-09,김포시,2263,1506,2021-08-26
2013-10,김포시,2222,1605,2021-08-26
2013-11,김포시,1886,1435,2021-08-26
2013-12,김포시,2155,1604,2021-08-26
2014-01,김포시,1963,976,2021-08-26
2014-02,김포시,1701,1003,2021-08-26
2014-03,김포시,2153,1533,2021-08-26
2014-04,김포시,2240,1589,2021-08-26
2014-05,김포시,2372,1499,2021-08-26
2014-06,김포시,2545,1656,2021-08-26
2014-07,김포시,3745,1867,2021-08-26
2014-08,김포시,1986,1850,2021-08-26
2014-09,김포시,1983,1732,2021-08-26
2014-10,김포시,2643,1934,2021-08-26
2014-11,김포시,2530,1597,2021-08-26
2014-12,김포시,3343,2540,2021-08-26
2015-01,김포시,3314,1775,2021-08-26
2015-02,김포시,2407,1511,2021-08-26
2015-03,김포시,4609,2610,2021-08-26
2015-04,김포시,3347,2633,2021-08-26
2015-05,김포시,4212,2535,2021-08-26
2015-06,김포시,3018,2902,2021-08-26
2015-07,김포시,5472,3653,2021-08-26
2015-08,김포시,5888,4533,2021-08-26
2015-09,김포시,6876,4640,2021-08-26
2015-10,김포시,6377,4615,2021-08-26
2015-11,김포시,6185,4672,2021-08-26
2015-12,김포시,7113,5264,2021-08-26
2016-01,김포시,6753,3412,2021-08-26
2016-02,김포시,6948,3973,2021-08-26
2016-03,김포시,7434,5524,2021-08-26
2016-04,김포시,5363,4495,2021-08-26
2016-05,김포시,4670,3654,2021-08-26
2016-06,김포시,9227,4474,2021-08-26
2016-07,김포시,5724,5367,2021-08-26
2016-08,김포시,6328,5600,2021-08-26
2016-09,김포시,6328,4812,2021-08-26
2016-10,김포시,6988,5204,2021-08-26
2016-11,김포시,6962,5563,2021-08-26
2016-12,김포시,7712,6023,2021-08-26
2017-01,김포시,7445,3915,2021-08-26
2017-02,김포시,6998,4320,2021-08-26
2017-03,김포시,7000,5132,2021-08-26
2017-04,김포시,6956,4682,2021-08-26
2017-05,김포시,6917,4696,2021-08-26
2017-06,김포시,6258,5121,2021-08-26
2017-07,김포시,6152,4999,2021-08-26
2017-08,김포시,7209,5372,2021-08-26
2017-09,김포시,3367,4807,2021-08-26
2017-10,김포시,10962,4924,2021-08-26
2017-11,김포시,7028,6236,2021-08-26
2017-12,김포시,7490,6404,2021-08-26
2018-01,김포시,8551,5436,2021-08-26
2018-02,김포시,7881,5261,2021-08-26
2018-03,김포시,7493,6316,2021-08-26
2018-04,김포시,9976,7161,2021-08-26
2018-05,김포시,13261,8365,2021-08-26
2018-06,김포시,9384,6722,2021-08-26
2018-07,김포시,9735,8404,2021-08-26
2018-08,김포시,10842,9377,2021-08-26
2018-09,김포시,10583,7851,2021-08-26
2018-10,김포시,12189,9432,2021-08-26
2018-11,김포시,10183,8386,2021-08-26
2018-12,김포시,7246,6894,2021-08-26
2019-01,김포시,12785,6647,2021-08-26
2019-02,김포시,8009,5577,2021-08-26
2019-03,김포시,9074,6337,2021-08-26
2019-04,김포시,7150,6280,2021-08-26
2019-05,김포시,7749,6282,2021-08-26
2019-06,김포시,7321,5892,2021-08-26
2019-07,김포시,8734,6919,2021-08-26
2019-08,김포시,6747,6145,2021-08-26
2019-09,김포시,7324,5854,2021-08-26
2019-10,김포시,7223,6105,2021-08-26
2019-11,김포시,6940,5824,2021-08-26
2019-12,김포시,7038,5939,2021-08-26
2020-01,김포시,7203,4955,2021-08-26
2020-02,김포시,8099,6091,2021-08-26
2020-03,김포시,8629,6645,2021-08-26
2020-04,김포시,7088,4852,2021-08-26
2020-05,김포시,6300,4779,2021-08-26
2020-06,김포시,5597,5103,2021-08-26
2020-07,김포시,5668,5023,2021-08-26
2020-08,김포시,5818,4910,2021-08-26
2020-09,김포시,8198,4926,2021-08-26
2020-10,김포시,3269,4592,2021-08-26
2020-11,김포시,6434,5374,2021-08-26
2020-12,김포시,6088,5449,2021-08-26
